Index,Arrival Time,Job Size
0,95,251
1,201,225
2,267,251
3,380,253
4,452,254
5,526,250
6,617,247
7,711,254
8,773,248
9,873,48
10,923,0
11,983,263
12,1017,260
13,1071,44
14,1121,29
15,1191,43
16,1315,45
17,1373,245
18,1455,260
19,1524,264
20,1585,248
21,1686,251
22,1743,255
23,1812,256
24,1886,268
25,1951,242
26,2031,209
27,2103,251
28,2190,251
29,2261,259
30,2321,269
31,2402,249
32,2489,266
33,2545,227
34,2630,252
35,2687,225
36,2753,240
37,2818,53
38,2877,237
39,2934,254
40,3018,240
41,3067,230
42,3149,217
43,3221,265
44,3307,270
45,3380,285
46,3417,251
47,3490,243
48,3547,237
49,3610,226
50,3676,228
51,3741,55
52,3792,252
53,3876,254
54,3967,262
55,4016,233
56,4100,0
57,4186,245
58,4251,250
59,4310,246
60,4377,274
61,4459,52
62,4556,0
63,4614,251
64,4695,247
65,4760,253
66,4855,264
67,4926,247
68,4994,252
69,5056,254
70,5127,31
71,5187,265
72,5272,57
73,5339,225
74,5437,265
75,5506,233
76,5549,63
77,5638,56
78,5700,263
79,5754,259
80,5830,251
81,5893,255
82,5962,258
83,5994,258
84,6043,247
85,6113,277
86,6175,53
87,6243,256
88,6271,243
89,6340,60
90,6441,264
91,6512,256
92,6575,252
93,6645,244
94,6724,236
95,6792,213
96,6853,234
97,6938,239
98,7014,241
99,7110,256
100,7209,30
101,7279,253
102,7335,253
103,7395,265
104,7452,259
105,7532,68
106,7574,267
107,7633,251
108,7735,269
109,7812,275
110,7872,262
111,7951,264
112,8028,233
113,8061,260
114,8128,231
115,8215,247
116,8289,40
117,8337,238
118,8387,47
119,8447,263
120,8524,55
121,8587,254
122,8652,221
123,8742,249
124,8798,51
125,8890,254
126,8965,255
127,9052,50
128,9074,47
129,9127,244
130,9213,205
131,9297,253
132,9360,221
133,9417,262
134,9475,229
135,9558,239
136,9622,246
137,9708,263
138,9807,259
139,9865,289
140,9985,260
141,10064,272
142,10120,240
143,10183,243
144,10287,247
145,10363,247
146,10440,223
147,10526,232
148,10574,241
149,10664,0
150,10697,48
151,10768,245
152,10840,250
153,10931,246
154,11000,234
155,11063,264
156,11140,251
157,11250,255
158,11264,248
159,11351,235
160,11423,239
161,11519,226
162,11605,242
163,11597,228
164,11681,239
165,11777,268
166,11836,247
167,11920,259
168,11998,236
169,12098,238
170,12167,252
171,12239,252
172,12281,245
173,12327,265
174,12404,233
175,12505,258
176,12571,259
177,12641,240
178,12696,295
179,12762,73
180,12829,220
181,12896,244
182,12966,243
183,13007,248
184,13075,248
185,13139,229
186,13191,37
187,13273,238
188,13391,234
189,13466,236
190,13521,238
191,13610,257
192,13675,258
193,13774,62
194,13833,258
195,13959,224
196,14032,269
197,14111,233
198,14211,234
199,14279,249
200,14340,249
201,14414,232
202,14474,249
203,14509,242
204,14585,246
205,14665,270
206,14738,287
207,14797,246
208,14898,234
209,14961,227
210,15015,263
211,15072,215
212,15167,242
213,15246,248
214,15302,229
215,15392,262
216,15446,256
217,15493,225
218,15538,256
219,15599,266
220,15651,47
221,15720,241
222,15817,233
223,15871,247
224,15947,231
225,16015,234
226,16081,260
227,16176,55
228,16262,248
229,16343,254
230,16420,276
231,16501,281
232,16591,250
233,16682,240
234,16800,56
235,16853,271
236,16918,274
237,16983,255
238,17046,221
239,17135,256
240,17193,249
241,17276,238
242,17377,51
243,17479,63
244,17595,257
245,17684,44
246,17759,269
247,17822,43
248,17918,234
249,17974,258
250,18037,256
251,18140,273
252,18214,266
253,18315,46
254,18400,273
255,18458,245
256,18509,249
257,18563,42
258,18647,259
259,18724,248
260,18814,266
261,18864,57
262,18947,248
263,19006,253
264,19071,246
265,19145,226
266,19225,277
267,19317,253
268,19423,242
269,19478,258
270,19533,273
271,19599,246
272,19637,259
273,19716,256
274,19728,279
275,19792,256
276,19858,246
277,19916,241
278,20004,228
279,20040,252
280,20118,260
281,20174,49
282,20257,215
283,20349,242
284,20445,36
285,20495,67
286,20557,245
287,20655,247
288,20732,233
289,20831,240
