Index,Arrival Time,Job Size,Start Job,Initial Clock Time,End Time,Response Time,Turnaround Time,Final Clock Time,Job State
0,70,168,70,70,238,0,168,238,2
1,136,144,238,238,382,102,246,382,2
2,219,144,382,382,526,163,307,526,2
3,289,199,526,526,725,237,436,725,2
4,379,154,725,725,879,346,500,879,2
5,444,121,879,879,1000,435,556,1000,2
6,524,155,1000,1000,1155,476,631,1155,2
7,634,119,1155,1155,1274,521,640,1274,2
8,703,167,1274,1274,1441,571,738,1441,2
9,803,143,1441,1441,1584,638,781,1584,2
10,906,161,1584,1584,1745,678,839,1745,2
11,961,176,1745,1745,1921,784,960,1921,2
12,1039,134,1921,1921,2055,882,1016,2055,2
13,1099,150,2055,2055,2205,956,1106,2205,2
14,1194,152,2205,2205,2357,1011,1163,2357,2
15,1244,131,2357,2357,2488,1113,1244,2488,2
16,1312,128,2488,2488,2616,1176,1304,2616,2
17,1331,148,2616,2616,2764,1285,1433,2764,2
18,1412,92,2764,2764,2856,1352,1444,2856,2
19,1482,143,2856,2856,2999,1374,1517,2999,2
20,1530,154,2999,2999,3153,1469,1623,3153,2
21,1550,157,3153,3153,3310,1603,1760,3310,2
22,1618,126,3310,3310,3436,1692,1818,3436,2
23,1669,156,3436,3436,3592,1767,1923,3592,2
24,1768,151,3592,3592,3743,1824,1975,3743,2
25,1816,145,3743,3743,3888,1927,2072,3888,2
26,1904,166,3888,3888,4054,1984,2150,4054,2
27,1997,177,4054,4054,4231,2057,2234,4231,2
28,2084,147,4231,4231,4378,2147,2294,4378,2
29,2158,168,4378,4378,4546,2220,2388,4546,2
30,2211,165,4546,4546,4711,2335,2500,4711,2
31,2279,151,4711,4711,4862,2432,2583,4862,2
32,2372,186,4862,4862,5048,2490,2676,5048,2
33,2454,169,5048,5048,5217,2594,2763,5217,2
34,2531,150,5217,5217,5367,2686,2836,5367,2
35,2597,100,5367,5367,5467,2770,2870,5467,2
36,2715,160,5467,5467,5627,2752,2912,5627,2
37,2837,130,5627,5627,5757,2790,2920,5757,2
38,2907,170,5757,5757,5927,2850,3020,5927,2
39,2970,184,5927,5927,6111,2957,3141,6111,2
40,3052,173,6111,6111,6284,3059,3232,6284,2
41,3094,156,6284,6284,6440,3190,3346,6440,2
42,3144,154,6440,6440,6594,3296,3450,6594,2
43,3216,149,6594,6594,6743,3378,3527,6743,2
44,3297,130,6743,6743,6873,3446,3576,6873,2
45,3381,142,6873,6873,7015,3492,3634,7015,2
46,3461,152,7015,7015,7167,3554,3706,7167,2
47,3601,143,7167,7167,7310,3566,3709,7310,2
48,3695,177,7310,7310,7487,3615,3792,7487,2
49,3791,173,7487,7487,7660,3696,3869,7660,2
50,3854,153,7660,7660,7813,3806,3959,7813,2
51,3939,146,7813,7813,7959,3874,4020,7959,2
52,4014,143,7959,7959,8102,3945,4088,8102,2
53,4072,152,8102,8102,8254,4030,4182,8254,2
54,4163,158,8254,8254,8412,4091,4249,8412,2
55,4236,154,8412,8412,8566,4176,4330,8566,2
56,4328,154,8566,8566,8720,4238,4392,8720,2
57,4399,189,8720,8720,8909,4321,4510,8909,2
58,4454,125,8909,8909,9034,4455,4580,9034,2
59,4522,144,9034,9034,9178,4512,4656,9178,2
60,4621,139,9178,9178,9317,4557,4696,9317,2
61,4696,149,9317,9317,9466,4621,4770,9466,2
62,4792,143,9466,9466,9609,4674,4817,9609,2
63,4843,153,9609,9609,9762,4766,4919,9762,2
64,4939,145,9762,9762,9907,4823,4968,9907,2
65,5001,169,9907,9907,10076,4906,5075,10076,2
66,5091,154,10076,10076,10230,4985,5139,10230,2
67,5181,132,10230,10230,10362,5049,5181,10362,2
68,5249,149,10362,10362,10511,5113,5262,10511,2
69,5332,129,10511,10511,10640,5179,5308,10640,2
