Index,Arrival Time,Job Size,End Time,Start Job,Response Time,Turnaround Time,Job State,Context Switches
0,95,251,696,695,0,601,2,5
1,201,225,1369,1344,44,1168,2,4
2,267,251,2681,2680,78,2414,2,5
3,380,253,3934,3931,115,3554,2,5
4,452,254,4685,4681,193,4233,2,5
5,526,250,3581,3531,170,3055,2,4
6,617,247,4231,4184,229,3614,2,4
7,711,254,7971,7967,285,7260,2,5
8,773,248,5683,5635,323,4910,2,4
9,873,48,1294,1246,373,421,2,0
10,923,0,1344,1344,421,421,2,0
11,983,263,10586,10573,386,9603,2,5
12,1017,260,11526,11516,452,10509,2,5
13,1071,44,1613,1569,498,542,2,0
14,1121,29,1692,1663,542,571,2,0
15,1191,43,1785,1742,551,594,2,0
16,1315,45,1930,1885,570,615,2,0
17,1373,245,10271,10226,607,8898,2,4
18,1455,260,17106,17096,625,15651,2,5
19,1524,264,18688,18674,706,17164,2,5
20,1585,248,12581,12533,745,10996,2,4
21,1686,251,20725,20724,744,19039,2,5
22,1743,255,21813,21808,787,20070,2,5
23,1812,256,22519,22513,768,20707,2,5
24,1886,268,23462,23444,795,21576,2,5
25,1951,242,15429,15387,780,13478,2,4
26,2031,209,16248,16239,850,14217,2,4
27,2103,251,25977,25976,878,23874,2,5
28,2190,251,27325,27324,941,25135,2,5
29,2261,259,28367,28358,970,26106,2,5
30,2321,269,29628,29609,1010,27307,2,5
31,2402,249,20137,20088,1079,17735,2,4
32,2489,266,32684,32668,1142,30195,2,5
33,2545,227,21458,21431,1186,18913,2,4
34,2630,252,34546,34544,1201,31916,2,5
35,2687,225,23144,23119,1247,20457,2,4
36,2753,240,23802,23762,1281,21049,2,4
37,2818,53,6336,6333,1316,3518,2,1
38,2877,237,24536,24499,1354,21659,2,4
39,2934,254,39621,39617,1447,36687,2,5
40,3018,240,25926,25886,1463,22908,2,4
41,3067,230,26557,26527,1514,23490,2,4
42,3149,217,26924,26907,1536,23775,2,4
43,3221,265,42687,42672,1564,39466,2,5
44,3307,270,44298,44278,1628,40991,2,5
45,3380,285,45434,45399,1655,42054,2,5
46,3417,251,46332,46331,1718,42915,2,5
47,3490,243,30771,30728,1795,27281,2,4
48,3547,237,31480,31443,1838,27933,2,4
49,3610,226,31892,31866,1825,28282,2,4
50,3676,228,32370,32342,1859,28694,2,4
51,3741,55,8726,8721,1942,4985,2,1
52,3792,252,51963,51961,1991,48171,2,5
53,3876,254,52913,52909,2007,49037,2,5
54,3967,262,54779,54767,2066,50812,2,5
55,4016,233,36326,36293,2117,32310,2,4
56,4100,0,6283,6283,2183,2183,2,0
57,4186,245,37616,37571,2150,33430,2,4
58,4251,250,37716,37666,2135,33465,2,4
59,4310,246,38509,38463,2176,34199,2,4
60,4377,274,60188,60164,2209,55811,2,5
61,4459,52,10523,10521,2277,6064,2,1
62,4556,0,6886,6886,2330,2330,2,0
63,4614,251,62644,62643,2322,58030,2,5
64,4695,247,41858,41811,2391,37163,2,4
65,4760,253,64588,64585,2426,59828,2,5
66,4855,264,65837,65823,2481,60982,2,5
67,4926,247,43734,43687,2510,38808,2,4
68,4994,252,68683,68681,2592,63689,2,5
69,5056,254,69116,69112,2630,64060,2,5
70,5127,31,7817,7786,2659,2690,2,0
71,5187,265,71655,71640,2730,66468,2,5
72,5272,57,12433,12426,2699,7161,2,1
73,5339,225,48233,48208,2782,42894,2,4
74,5437,265,74897,74882,2834,69460,2,5
75,5506,233,49633,49600,2865,44127,2,4
76,5549,63,13281,13268,2922,7732,2,1
77,5638,56,13537,13531,2983,7899,2,1
78,5700,263,77770,77757,2971,72070,2,5
79,5754,259,78628,78619,2972,72874,2,5
80,5830,251,79129,79128,2996,73299,2,5
81,5893,255,80243,80238,3083,74350,2,5
82,5962,258,81320,81312,3114,75358,2,5
83,5994,258,82427,82419,3182,76433,2,5
84,6043,247,54463,54416,3233,48420,2,4
85,6113,277,84597,84570,3263,78484,2,5
86,6175,53,14937,14934,3301,8762,2,1
87,6243,256,86567,86561,3383,80324,2,5
88,6271,243,57003,56960,3405,50732,2,4
89,6340,60,15489,15479,3486,9149,2,1
90,6441,264,89467,89453,3535,83026,2,5
91,6512,256,90689,90683,3564,84177,2,5
92,6575,252,91671,91669,3601,85096,2,5
93,6645,244,60432,60388,3676,53787,2,4
94,6724,236,60968,60932,3697,54244,2,4
95,6792,213,61370,61357,3731,54578,2,4
96,6853,234,61750,61716,3733,54897,2,4
97,6938,239,62393,62354,3798,55455,2,4
98,7014,241,63135,63094,3822,56121,2,4
99,7110,256,97959,97953,3876,90849,2,5
100,7209,30,11166,11136,3927,3957,2,0
101,7279,253,99503,99500,3937,92224,2,5
102,7335,253,99886,99883,3981,92551,2,5
103,7395,265,100940,100925,4071,93545,2,5
104,7452,259,101769,101760,4074,94317,2,5
105,7532,68,18224,18206,4094,10692,2,1
106,7574,267,103045,103028,4152,95471,2,5
107,7633,251,104299,104298,4193,96666,2,5
108,7735,269,105148,105129,4241,97413,2,5
109,7812,275,106799,106774,4314,98987,2,5
110,7872,262,107661,107649,4354,99789,2,5
111,7951,264,108706,108692,4375,100755,2,5
112,8028,233,71888,71855,4405,63860,2,4
113,8061,260,110389,110379,4422,102328,2,5
114,8128,231,73300,73269,4503,65172,2,4
115,8215,247,73946,73899,4516,65731,2,4
116,8289,40,12921,12881,4592,4632,2,0
117,8337,238,75385,75347,4634,67048,2,4
118,8387,47,13118,13071,4684,4731,2,0
119,8447,263,116262,116249,4721,107815,2,5
120,8524,55,20780,20775,4757,12256,2,1
121,8587,254,117374,117370,4794,108787,2,5
122,8652,221,77607,77586,4829,68955,2,4
123,8742,249,78069,78020,4845,69327,2,4
124,8798,51,21381,21380,4889,12583,2,1
125,8890,254,121255,121251,4947,112365,2,5
126,8965,255,121734,121729,4972,112769,2,5
127,9052,50,14137,14087,5035,5085,2,0
128,9074,47,14184,14137,5063,5110,2,0
129,9127,244,81564,81520,5157,72437,2,4
130,9213,205,82119,82114,5171,72906,2,4
131,9297,253,126487,126484,5237,117190,2,5
132,9360,221,83738,83717,5274,74378,2,4
133,9417,262,128215,128203,5317,118798,2,5
134,9475,229,84626,84597,5359,75151,2,4
135,9558,239,85415,85376,5379,75857,2,4
136,9622,246,86311,86265,5415,76689,2,4
137,9708,263,132246,132233,5479,122538,2,5
138,9807,259,133178,133169,5530,123371,2,5
139,9865,289,134067,134028,5564,124202,2,5
